"centre","count","location","lon","lat"
"BLK 216 BEDOK NORTH STREET",1,"BLK 216 BEDOK NORTH STREET, Singapore",103.9331156,1.3273387
"BLK 226D ANG MO KIO AVENUE",1,"BLK 226D ANG MO KIO AVENUE, Singapore",103.839176,1.366795
"BLK 270 QUEEN STREET",27,"BLK 270 QUEEN STREET, Singapore",103.8541162,1.3010567
"BLK 29 BENDEMEER ROAD S(330029)",1,"BLK 29 BENDEMEER ROAD S(330029), Singapore",103.863322,1.319142
"BLK 341 ANG MO KIO AVENUE 1",25,"BLK 341 ANG MO KIO AVENUE 1, Singapore",103.8483417,1.3643751
"BLK 347 JURONG EAST AVENUE 1",15,"BLK 347 JURONG EAST AVENUE 1, Singapore",103.7314212,1.345334
"BLK 353 CLEMENTI AVENUE 2",28,"BLK 353 CLEMENTI AVENUE 2, Singapore",103.770821,1.314399
"BLK 409 ANG MO KIO AVENUE",2,"BLK 409 ANG MO KIO AVENUE, Singapore",103.833731,1.376988
"BLK 409 ANG MO KIO AVENUE 10",18,"BLK 409 ANG MO KIO AVENUE 10, Singapore",103.855294,1.363019
"BLK 4A EUNOS CRESCENT",21,"BLK 4A EUNOS CRESCENT, Singapore",103.903711,1.320065
"BLK 502 WEST COAST DRIVE",18,"BLK 502 WEST COAST DRIVE, Singapore",103.759131,1.311936
"BLK 531A UPPER CROSS STREET",30,"BLK 531A UPPER CROSS STREET, Singapore",103.8461081,1.284504
"BLK 538 BEDOK NORTH STREET 3",12,"BLK 538 BEDOK NORTH STREET 3, Singapore",103.924861,1.331798
"BLK 58 NEW UPPER CHANGI ROAD",9,"BLK 58 NEW UPPER CHANGI ROAD, Singapore",103.941176,1.324313
"BLK 724 ANG MO KIO AVENUE 6",37,"BLK 724 ANG MO KIO AVENUE 6, Singapore",103.8467538,1.3717706
"BLK 74 TOA PAYOH LORONG 4",53,"BLK 74 TOA PAYOH LORONG 4, Singapore",103.8519697,1.3344753
"BLK 79 REDHILL LANE",20,"BLK 79 REDHILL LANE, Singapore",103.8181035,1.2878266
"BLK 85 BEDOK NORTH STREET 4",32,"BLK 85 BEDOK NORTH STREET 4, Singapore",103.9387417,1.3320037
"BLK 92 WHAMPOA DRIVE",21,"BLK 92 WHAMPOA DRIVE, Singapore",103.853863,1.323207
"HOLLAND ROAD MARKET",4,"HOLLAND ROAD MARKET, Singapore",103.7927381,1.3081723
"HOLLAND VILLAGE MARKET",33,"HOLLAND VILLAGE MARKET, Singapore",103.7950298,1.3111793
"TANGLIN HALT MARKET",20,"TANGLIN HALT MARKET, Singapore",103.797735,1.30054
